cds,record_type,school_name,district_name,county_name,enrollment_9_12,number_of_test_takers,avg_reading_score,avg_math_score,avg_writing_score,number_scores_gte_1500,percent_scores_gte_1500
01751010000000,D,,Pleasanton Unified,Alameda,4945,1265,584,609,586,1043,82.45
01751010130096,S,Foothill High,Pleasanton Unified,Alameda,2158,560,578,603,583,450,80.36
01751010130583,S,Amador Valley High,Pleasanton Unified,Alameda,2634,705,589,614,588,593,84.11
01766530000000,D,,SBE - Livermore Valley Charter,Alameda,440,104,520,532,512,64,61.54
01766530120931,S,Livermore Valley Charter Preparatory Hig,SBE - Livermore Valley Charter,Alameda,440,104,520,532,512,64,61.54
03000000000000,C,,,Amador,1376,135,537,529,512,89,65.93
03100330000000,D,,Amador County Office of Educat,Amador,75,0,NA,NA,NA,NA,NA
03739810000000,D,,Amador County Unified,Amador,1301,135,537,529,512,89,65.93
03739810330050,S,North Star Independent Study,Amador County Unified,Amador,65,0,NA,NA,NA,NA,NA
03739810330753,S,Amador High,Amador County Unified,Amador,646,87,542,533,510,57,65.52
03739810334755,S,Argonaut High,Amador County Unified,Amador,530,48,529,523,517,32,66.67
04000000000000,C,,,Butte,9833,915,524,531,506,548,59.89
04100410000000,D,,Butte County Office of Educati,Butte,519,30,543,481,508,16,53.33
04100410114991,S,CORE Butte Charter,Butte County Office of Educati,Butte,278,30,543,481,508,16,53.33
04100410430090,S,Learning Community Charter,Butte County Office of Educati,Butte,189,0,NA,NA,NA,NA,NA
04614080000000,D,,Biggs Unified,Butte,150,20,442,461,421,3,15.00
04614080430827,S,Biggs High,Biggs Unified,Butte,142,20,442,461,421,3,15.00
04614240000000,D,,Chico Unified,Butte,4390,525,542,551,522,361,68.76
04614240120394,S,Inspire School of Arts and Sciences,Chico Unified,Butte,433,58,593,539,564,49,84.48
04614240430199,S,Oakdale,Chico Unified,Butte,75,0,NA,NA,NA,NA,NA
04614240431676,S,Chico High,Chico Unified,Butte,1762,228,538,546,516,155,67.98
04614240437558,S,Pleasant Valley High,Chico Unified,Butte,1865,239,534,558,517,157,65.69
04614320000000,D,,Durham Unified,Butte,324,71,534,526,506,43,60.56
04614320433201,S,Durham High,Durham Unified,Butte,324,71,534,526,506,43,60.56
04614400000000,D,,Feather Falls Union Elementary,Butte,30,0,NA,NA,NA,NA,NA
04614400121509,S,Ipakanni Early College Charter,Feather Falls Union Elementary,Butte,30,0,NA,NA,NA,NA,NA
04614570000000,D,,Golden Feather Union Elementar,Butte,42,0,NA,NA,NA,NA,NA
04614570125252,S,Pivot Charter School North Valley,Golden Feather Union Elementar,Butte,42,0,NA,NA,NA,NA,NA
04615150000000,D,,Oroville Union High,Butte,2361,131,475,495,466,54,41.22
04615150434803,S,Las Plumas High,Oroville Union High,Butte,1126,56,512,515,488,30,53.57
