OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
700392,6953da2f,02/21/2012 10:30:00 AM,Tuesday,Feb,21,2012,10,2,21,2012,GRAND LARCENY,FELONY,K,61,BROOKLYN,N.Y. POLICE DEPT,995834,161062,"(40.608754973, -73.95828139)"
700393,e787af1,02/21/2012 10:30:00 AM,Tuesday,Feb,21,2012,10,2,21,2012,BURGLARY,FELONY,R,120,STATEN ISLAND,N.Y. POLICE DEPT,940255,166844,"(40.624523692, -74.158487989)"
700394,c58cbae7,02/21/2012 10:30:00 AM,Tuesday,Feb,21,2012,10,2,21,2012,FELONY ASSAULT,FELONY,H,43,BRONX,N.Y. POLICE DEPT,1018877,241924,"(40.830641293, -73.874875576)"
700395,430d7e71,02/21/2012 10:43:00 AM,Tuesday,Feb,21,2012,10,2,21,2012,GRAND LARCENY OF MOTOR VEHICLE,FELONY,B,49,BRONX,N.Y. POLICE DEPT,1025249,249029,"(40.850115144, -73.8518067369999)"
700396,6307b658,02/21/2012 11:00:00 AM,Tuesday,Feb,21,2012,11,2,21,2012,BURGLARY,FELONY,C,60,BROOKLYN,N.Y. POLICE DEPT,993153,152671,"(40.5857264690001, -73.967948131)"
700397,6f015cb2,02/21/2012 11:00:00 AM,Tuesday,Feb,21,2012,11,2,22,2012,BURGLARY,FELONY,D,71,BROOKLYN,N.Y. POLICE DEPT,998387,179552,"(40.659502392, -73.94904797)"
700398,ec051f98,02/21/2012 11:00:00 AM,Tuesday,Feb,21,2012,11,2,21,2012,GRAND LARCENY,FELONY,A,78,BROOKLYN,N.Y. POLICE DEPT,987724,183284,"(40.6697565100001, -73.9874783079999)"
700399,baa10ee9,02/21/2012 11:00:00 AM,Tuesday,Feb,21,2012,11,2,21,2012,GRAND LARCENY,FELONY,D,110,QUEENS,N.Y. POLICE DEPT,1018236,211286,"(40.746550762, -73.877346863)"
700400,32924c91,02/21/2012 11:10:00 AM,Tuesday,Feb,21,2012,11,2,21,2012,BURGLARY,FELONY,J,41,BRONX,N.Y. POLICE DEPT,1013479,239278,"(40.8233982940001, -73.8943929439999)"
700401,2d320e46,02/21/2012 11:15:00 AM,Tuesday,Feb,21,2012,11,2,21,2012,BURGLARY,FELONY,B,114,QUEENS,N.Y. POLICE DEPT,1012954,219529,"(40.7691944010001, -73.896374252)"
700402,592a8609,10/10/2013 06:40:00 PM,Thursday,Oct,10,2013,18,10,15,2013,GRAND LARCENY,FELONY,G,13,MANHATTAN,N.Y. TRANSIT POLICE,984338,208351,"(40.7385602210001, -73.999683896)"
700403,c23fd1ad,10/10/2013 06:45:00 PM,Thursday,Oct,10,2013,18,10,10,2013,GRAND LARCENY,FELONY,F,67,BROOKLYN,N.Y. POLICE DEPT,1001588,173046,"(40.6416391490001, -73.937527449)"
700404,b2952cb6,10/10/2013 06:45:00 PM,Thursday,Oct,10,2013,18,10,10,2013,GRAND LARCENY,FELONY,H,13,MANHATTAN,N.Y. POLICE DEPT,985355,209258,"(40.7410496420001, -73.996013862)"
700405,e6a71b89,10/10/2013 06:50:00 PM,Thursday,Oct,10,2013,18,10,10,2013,FELONY ASSAULT,FELONY,D,76,BROOKLYN,N.Y. POLICE DEPT,980411,186446,"(40.678435338, -74.013842139)"
700406,f3f8ca82,10/10/2013 06:58:00 PM,Thursday,Oct,10,2013,18,11,25,2013,GRAND LARCENY,FELONY,I,71,BROOKLYN,N.Y. POLICE DEPT,1001334,179795,"(40.660164179, -73.938425593)"
700407,191faae9,10/10/2013 07:00:00 PM,Thursday,Oct,10,2013,19,10,13,2013,RAPE,FELONY,D,123,STATEN ISLAND,N.Y. POLICE DEPT,914725,125837,"(40.5118043350001, -74.250034592)"
700408,97de29fa,10/10/2013 07:00:00 PM,Thursday,Oct,10,2013,19,10,10,2013,ROBBERY,FELONY,B,60,BROOKLYN,N.Y. POLICE DEPT,993449,149739,"(40.577678405, -73.966886438)"
700409,a4861cc0,10/10/2013 07:00:00 PM,Thursday,Oct,10,2013,19,10,11,2013,BURGLARY,FELONY,E,71,BROOKLYN,N.Y. POLICE DEPT,997909,180451,"(40.6619707, -73.9507689869999)"
700410,c1e99b48,10/10/2013 07:00:00 PM,Thursday,Oct,10,2013,19,10,11,2013,GRAND LARCENY,FELONY,G,113,QUEENS,N.Y. POLICE DEPT,1042726,185011,"(40.6743042950001, -73.789191563)"
700411,4f9f1017,10/10/2013 07:00:00 PM,Thursday,Oct,10,2013,19,10,10,2013,GRAND LARCENY,FELONY,A,84,BROOKLYN,N.Y. POLICE DEPT,986411,190669,"(40.690027081, -73.992209067)"
700412,30c5bb67,10/10/2013 07:00:00 PM,Thursday,Oct,10,2013,19,10,10,2013,GRAND LARCENY,FELONY,G,13,MANHATTAN,N.Y. POLICE DEPT,985118,208831,"(40.73987766, -73.996869174)"
700413,9faa9c77,10/10/2013 07:15:00 PM,Thursday,Oct,10,2013,19,10,10,2013,ROBBERY,FELONY,M,104,QUEENS,N.Y. POLICE DEPT,1019785,197914,"(40.709841827, -73.871827181)"
700414,956b4dad,10/10/2013 07:15:00 PM,Thursday,Oct,10,2013,19,10,10,2013,ROBBERY,FELONY,D,111,QUEENS,N.Y. POLICE DEPT,1043228,209628,"(40.7418686170001, -73.7871662049999)"
700415,b656ac26,10/10/2013 07:20:00 PM,Thursday,Oct,10,2013,19,10,10,2013,ROBBERY,FELONY,I,77,BROOKLYN,N.Y. HOUSING POLICE,1003812,183893,"(40.6714071500001, -73.9294822529999)"
700416,24a56f82,10/10/2013 07:20:00 PM,Thursday,Oct,10,2013,19,10,11,2013,ROBBERY,FELONY,A,33,MANHATTAN,N.Y. POLICE DEPT,1000490,244863,"(40.838760946, -73.941310498)"
700417,cea6f90a,10/10/2013 07:25:00 PM,Thursday,Oct,10,2013,19,10,10,2013,FELONY ASSAULT,FELONY,D,83,BROOKLYN,N.Y. POLICE DEPT,1006599,191909,"(40.6934026440001, -73.9194087979999)"
700418,bbb350ec,10/10/2013 07:30:00 PM,Thursday,Oct,10,2013,19,10,10,2013,BURGLARY,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,947436,171734,"(40.6379784470001, -74.132646043)"
700419,d9e7c595,10/10/2013 07:30:00 PM,Thursday,Oct,10,2013,19,10,10,2013,ROBBERY,FELONY,E,72,BROOKLYN,N.Y. POLICE DEPT,982518,175733,"(40.6490311840001, -74.006243048)"
700420,2436ca7a,10/10/2013 07:30:00 PM,Thursday,Oct,10,2013,19,10,11,2013,GRAND LARCENY,FELONY,B,69,BROOKLYN,N.Y. POLICE DEPT,1014012,176600,"(40.651361072, -73.892744422)"
700421,57afe7a4,10/10/2013 07:30:00 PM,Thursday,Oct,10,2013,19,10,11,2013,GRAND LARCENY,FELONY,F,106,QUEENS,N.Y. POLICE DEPT,1032342,188316,"(40.683438256, -73.826602883)"
700422,fb244b23,10/10/2013 07:30:00 PM,Thursday,Oct,10,2013,19,10,16,2013,GRAND LARCENY,FELONY,G,76,BROOKLYN,N.Y. POLICE DEPT,986594,188888,"(40.685138597, -73.991549804)"
700423,22721347,10/27/2014 07:55:00 AM,Monday,Oct,27,2014,7,5,20,2015,FELONY ASSAULT,FELONY,A,41,BRONX,DEPT OF CORRECTIONS,1016268,227533,"(40.7911518670001, -73.884371919)"
700424,d2c15239,10/27/2014 08:00:00 AM,Monday,Oct,27,2014,8,10,28,2014,GRAND LARCENY,FELONY,C,60,BROOKLYN,N.Y. POLICE DEPT,994193,150972,"(40.5810619440001, -73.964206337)"
700425,85badd73,10/27/2014 08:00:00 AM,Monday,Oct,27,2014,8,10,27,2014,GRAND LARCENY,FELONY,C,62,BROOKLYN,N.Y. POLICE DEPT,987153,155037,"(40.592224662, -73.989548804)"
700426,b4af513b,10/27/2014 08:00:00 AM,Monday,Oct,27,2014,8,1,30,2015,GRAND LARCENY,FELONY,D,71,BROOKLYN,N.Y. POLICE DEPT,996839,177968,"(40.6551569960001, -73.954630326)"
700427,8e76a91f,10/27/2014 08:00:00 AM,Monday,Oct,27,2014,8,10,27,2014,ROBBERY,FELONY,J,71,BROOKLYN,N.Y. POLICE DEPT,999020,180686,"(40.662613939, -73.946763988)"
700428,8f8de531,10/27/2014 08:00:00 AM,Monday,Oct,27,2014,8,11,7,2014,GRAND LARCENY,FELONY,E,20,MANHATTAN,N.Y. POLICE DEPT,991239,222670,"(40.777859461, -73.97476648)"
700429,9762d702,10/27/2014 08:00:00 AM,Monday,Oct,27,2014,8,10,28,2014,GRAND LARCENY,FELONY,A,25,MANHATTAN,N.Y. HOUSING POLICE,1002206,230919,"(40.8004852770001, -73.935146227)"
